Direction,Packet Size (bytes)
receive,0.9727026717486329
receive,0.7940026140772034
receive,0.7547055942514824
receive,0.8065597591066116
receive,0.5184255680139698
receive,0.21227997728316494
receive,0.6592548074356924
receive,0.5725730190613217
send,0.19382936071044984
send,0.02496810777714734
send,0.05559256365190117
send,0.5766084500860759
receive,0.9107537735925078
receive,0.17599677611546316
send,0.565487536781585
receive,0.7554474943448686
receive,0.3299283633021515
receive,0.8909305698366022
receive,0.5239683494742757
send,0.11887401187374497
send,0.5607853107296022
receive,0.9881040742552409
receive,0.24086842782425377
receive,0.8873508520885406
receive,0.5574114463608811
send,0.19507728141532665
send,0.5026450426656996
receive,0.8274820630657286
receive,0.02007031171483381
send,0.5561865655674827
receive,0.7142817645111382
receive,0.7676036528089719
receive,0.666937491326919
receive,0.18878466436037405
send,0.032887453699366964
send,0.5490562074790698
receive,0.8202446638506293
receive,0.8708938701761888
receive,0.7012268914050079
receive,0.6524958698566923
