Direction,Packet Size
receive,54.59787
receive,55.72041
receive,54.69069
send,53.23048
send,49.81864
receive,45.65295
receive,54.12174
receive,54.88749
receive,54.45301
receive,54.14412
receive,55.63292
receive,50.47232
receive,45.65700
receive,52.87906
receive,52.99978
receive,46.99686
send,46.15016
send,47.44946
send,46.19743
send,49.11575
receive,54.59497
send,52.12897
receive,45.97077
send,50.80500
receive,45.32355
receive,56.47728
send,49.66599
receive,54.79831
receive,45.10830
receive,46.05888
send,53.80167
send,49.45819
receive,46.76814
receive,56.10916
receive,54.56266
receive,45.31559
receive,52.05494
send,46.92843
send,49.18925
receive,54.66217
receive,46.27636
receive,60.00577
receive,54.87231
receive,52.57683
send,46.43799
send,50.93596
receive,54.18483
receive,45.34966
receive,53.86382
receive,56.74440
receive,53.71346
receive,56.05595
receive,53.71869
receive,53.46307
send,49.74509
send,49.72156
send,50.45650
send,47.61138
receive,54.55003
send,46.55239
receive,54.61495
receive,50.10166
receive,45.80239
send,47.05038
receive,68.54919
send,50.29797
send,50.01674
receive,45.99926
receive,54.04051
receive,46.58207
receive,46.51670
receive,54.40784
receive,54.44714
receive,50.74281
receive,50.19160
receive,50.38805
receive,50.88824
send,47.95374
receive,46.72189
receive,45.00138
receive,52.52180
receive,52.92127
receive,50.62988
send,47.81344
receive,46.13425
send,47.27313
receive,52.67742
send,47.77727
send,49.72325
receive,54.15697
receive,45.11997
receive,54.62666
receive,52.61623
send,45.79436
send,49.88409
receive,54.34870
receive,46.33308
receive,54.31252
receive,52.99556
send,46.86909
send,49.86979
receive,54.09107
receive,46.62170
send,50.28506
receive,54.44890
receive,54.17658
send,50.91114
receive,50.77190
receive,45.16775
send,45.48745
receive,46.15023
receive,46.68003
receive,45.85842
receive,50.81901
send,45.30034
receive,68.11905
send,48.87428
send,48.77840
receive,45.61972
receive,54.96665
receive,54.17062
receive,54.27483
receive,45.07813
receive,54.25867
receive,46.28662
receive,50.88305
receive,46.92930
receive,50.88747
receive,52.34306
receive,52.53709
receive,46.73909
receive,52.97836
receive,46.18348
send,47.80004
receive,52.51824
send,45.84958
send,47.84669
send,45.00412
send,50.89522
receive,54.72817
receive,45.06460
send,49.00743
receive,54.71605
receive,46.41256
receive,45.12454
receive,52.95542
receive,54.23328
receive,56.43058
receive,54.38819
send,51.73763
send,49.99944
receive,45.52946
receive,45.18087
receive,55.65904
receive,54.78259
receive,54.38429
send,48.94026
receive,54.92209
receive,46.29368
receive,50.23963
receive,46.27181
receive,46.19503
send,48.83627
send,45.43666
send,52.73403
receive,46.80906
send,49.81193
receive,45.14993
receive,45.08021
receive,56.29052
receive,50.01818
receive,56.55212
receive,50.77161
send,46.57961
send,46.37078
send,47.35934
receive,46.54849
send,53.42600
send,45.70404
send,45.82802
send,47.16641
send,46.25362
receive,46.44549
send,45.57953
send,47.02158
send,45.01886
receive,46.66348
send,45.74734
send,50.41836
receive,46.46396
receive,56.89738
receive,45.11602
send,48.95701
send,48.00571
receive,45.02934
receive,54.93164
receive,54.95437
receive,46.92375
receive,45.90662
receive,50.35529
receive,50.86132
receive,46.36754
send,46.15747
send,47.18541
receive,53.67717
receive,55.66264
receive,53.37589
send,49.43715
send,48.47500
send,46.04269
receive,45.01349
receive,46.15149
send,48.58143
receive,54.15932
receive,45.37079
receive,54.44500
receive,54.24900
receive,45.85391
receive,50.45194
send,47.50541
receive,50.82092
receive,46.78814
send,47.84135
receive,54.08281
receive,55.97419
receive,54.34834
send,52.28338
send,50.36099
send,50.89037
receive,45.43118
receive,54.08870
receive,54.41954
receive,54.35584
receive,54.42781
receive,55.88157
receive,50.14383
receive,45.54492
receive,52.39432
receive,52.18001
receive,46.44306
send,47.75739
send,46.11686
send,47.47127
send,49.58081
receive,54.78156
send,52.48187
receive,45.43876
receive,46.60476
send,50.93081
receive,46.43675
receive,56.03349
send,50.08552
receive,54.56423
receive,45.56226
receive,45.16178
send,51.82101
send,50.40839
receive,46.27216
receive,56.00176
receive,54.60538
receive,45.28626
receive,52.46801
send,45.16588
send,49.02767
receive,54.71175
receive,46.55521
receive,54.83037
receive,52.84326
send,47.05175
send,49.61521
receive,54.30347
receive,46.59035
receive,53.98559
receive,56.15674
receive,53.86890
send,49.81429
send,50.76063
receive,54.83376
receive,54.89956
send,46.12402
receive,50.42753
receive,45.62879
send,46.46577
receive,58.53833
receive,54.32269
receive,55.05158
receive,54.44273
send,52.02708
send,49.00034
receive,45.60371
receive,46.95073
send,48.62721
receive,54.02220
receive,54.98546
receive,54.01676
receive,54.30583
receive,55.68036
receive,50.98449
receive,45.56435
receive,46.79255
receive,52.72685
receive,52.23905
receive,45.61801
send,46.51964
receive,45.02478
receive,46.44589
send,47.41339
receive,50.69496
send,46.15998
send,49.69162
send,46.34854
receive,54.27277
send,49.16536
receive,46.77481
receive,56.48516
receive,46.16675
receive,45.86735
send,49.24522
receive,54.18702
send,53.19338
receive,46.97516
send,49.37491
receive,45.39618
receive,56.38197
receive,46.18101
send,49.61449
receive,54.73682
receive,46.33772
receive,52.04873
receive,56.54874
receive,52.67536
send,49.74610
send,48.49679
send,46.82614
send,48.48792
receive,45.45975
receive,54.28574
receive,54.15598
receive,45.67876
receive,46.24585
receive,50.35681
receive,45.57031
receive,50.31945
send,47.89020
send,45.20745
receive,68.01382
receive,68.68927
send,48.35014
receive,54.96993
receive,54.16391
send,48.39349
receive,46.15394
receive,50.87438
receive,45.18929
receive,46.62764
receive,45.68299
send,46.96588
receive,50.24081
send,47.60077
send,48.77959
receive,54.46487
receive,54.03252
send,48.22482
receive,45.84338
receive,50.75128
receive,45.29873
receive,46.55390
receive,45.56043
send,47.00880
receive,50.81270
send,46.48408
receive,55.21031
receive,56.88406
receive,55.70632
receive,56.61656
send,50.87121
receive,46.80965
receive,45.38709
receive,46.70876
receive,53.92269
send,46.70128
send,49.10325
receive,46.08347
receive,46.96792
receive,46.78543
receive,53.85091
send,47.66563
receive,54.94824
receive,54.11716
receive,68.88430
receive,50.31032
receive,54.26797
receive,55.45304
send,45.91923
receive,54.02293
receive,56.70845
send,45.07081
receive,54.99274
receive,55.46015
send,47.93272
receive,56.69425
receive,55.66399
receive,56.14187
receive,54.31764
receive,54.18556
receive,56.44541
receive,54.40729
send,51.67165
send,49.63175
receive,45.49870
send,50.56597
receive,56.35555
receive,54.34536
receive,54.09931
receive,54.23015
receive,54.25415
receive,46.26454
receive,50.11181
receive,46.84152
receive,52.47584
send,47.78693
send,47.82231
send,47.25121
send,51.49122
send,50.69256
receive,54.62611
send,49.11706
receive,46.50516
receive,46.71013
receive,55.27146
send,50.89523
receive,54.40485
receive,46.98609
receive,46.36065
send,51.39145
send,50.52816
receive,45.38360
receive,55.22184
receive,54.36534
receive,46.79491
receive,52.51962
send,47.32526
send,50.36099
receive,54.94805
receive,46.94392
receive,54.04981
receive,52.64275
send,45.51087
send,49.54794
receive,54.48017
receive,46.29076
receive,53.00365
receive,55.50346
receive,53.02143
send,49.56196
send,50.43357
receive,54.50709
send,45.43153
receive,54.50673
receive,50.62489
receive,46.80376
send,46.07641
send,50.28328
receive,45.49067
send,50.49142
receive,54.97131
receive,54.66982
receive,54.62284
receive,45.22427
receive,50.60113
receive,46.19892
receive,45.00149
receive,50.02769
receive,52.24764
receive,46.82514
send,46.20193
receive,52.84340
send,46.14448
send,45.63308
send,49.87048
receive,54.74177
receive,46.15418
receive,54.49216
receive,52.35850
send,47.04410
send,50.95096
receive,54.93053
receive,45.69960
receive,54.14066
receive,52.45265
send,46.09797
send,49.96348
receive,54.99555
receive,45.98228
send,50.95902
receive,46.47378
send,50.20835
receive,45.97186
receive,54.27358
receive,54.67003
receive,46.54006
receive,50.80481
send,46.66682
receive,50.62457
receive,45.19665
send,47.67594
send,48.00179
send,48.44306
receive,54.94695
receive,54.10430
receive,46.14654
receive,54.04677
receive,54.80024
receive,46.38768
